Player,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Josh Reddick,Astros,134,540,13,77,82,7,8.00%,13.30%,0.17,0.339,0.314,0.363,0.484,0.357,128,3.3,21.7,-5.8,3.4,3892
Tim Beckham,- - -,137,575,22,67,62,6,6.30%,29.00%,0.176,0.365,0.278,0.328,0.454,0.334,109,0.6,7,7.6,3.4,7949
Cesar Hernandez,Phillies,128,577,9,85,34,15,10.60%,18.00%,0.127,0.353,0.294,0.373,0.421,0.346,112,0.8,9.7,5.3,3.4,10556
Domingo Santana,Brewers,151,607,30,88,85,15,12.00%,29.30%,0.227,0.363,0.278,0.371,0.505,0.372,127,3.2,24.3,-11.1,3.3,10348
Ryan Zimmerman,Nationals,144,576,36,90,108,1,7.60%,21.90%,0.269,0.335,0.303,0.358,0.573,0.387,137,1.9,29.2,-15,3.3,4220
Logan Morrison,Rays,149,601,38,75,85,2,13.50%,24.80%,0.27,0.268,0.246,0.353,0.516,0.363,130,0,22.3,-11,3.2,9205
Robinson Cano,Mariners,150,648,23,79,97,1,7.60%,13.10%,0.172,0.294,0.28,0.338,0.453,0.334,113,-3,7.3,2.4,3.2,3269
Xander Bogaerts,Red Sox,148,635,10,94,62,15,8.80%,18.30%,0.13,0.327,0.273,0.343,0.403,0.321,95,8.3,4,6,3.2,12161
Todd Frazier,- - -,147,576,27,74,76,4,14.40%,21.70%,0.215,0.226,0.213,0.344,0.428,0.335,108,-2,3.9,7.4,3.1,785
Matt Carpenter,Cardinals,145,622,23,91,69,2,17.50%,20.10%,0.209,0.274,0.241,0.384,0.451,0.361,123,0.4,18.9,-8.2,3.1,8090
Jean Segura,Mariners,125,566,11,80,45,22,6.00%,14.70%,0.128,0.339,0.3,0.349,0.427,0.334,113,-0.5,8.3,1.9,3,5933
Odubel Herrera,Phillies,138,563,14,67,56,8,5.50%,22.40%,0.171,0.345,0.281,0.325,0.452,0.329,101,1,1.5,9.6,2.9,11476
Yasiel Puig,Dodgers,152,570,28,72,74,15,11.20%,17.50%,0.224,0.274,0.263,0.346,0.487,0.349,117,-7.6,5,5.6,2.9,14225
Carlos Santana,Indians,154,667,23,90,79,5,13.20%,14.10%,0.196,0.274,0.259,0.363,0.455,0.35,115,0.8,13,-7,2.9,2396
Ender Inciarte,Braves,158,718,11,93,57,22,6.80%,13.10%,0.106,0.339,0.304,0.35,0.409,0.328,98,2.3,0.3,5.2,2.9,4922
